Time,TC1/u (J_per_m3),TC2/u (J_per_m3),TC3/u (J_per_m3),TC4/u (J_per_m3),TC5/u (J_per_m3),TC9/u (J_per_m3)
480.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
485.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
490.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.367305469795,5150.23842134007
495.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
500.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
505.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
510.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.367305469795,5150.23842134007
515.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
520.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
525.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
530.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.367305469795,5150.23842134007
535.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
540.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
545.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
550.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.367305469795,5150.23842134007
555.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
560.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
565.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
570.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.367305469795,5150.23842134007
575.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
580.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
585.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
590.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.367305469795,5150.23842134007
595.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
600.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
605.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
610.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.367305469795,5150.23842134007
615.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
620.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
625.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
630.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.367305469795,5150.23842134007
635.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
640.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
645.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
650.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
655.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
660.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
665.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
670.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
675.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
680.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
685.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
690.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
695.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
700.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
705.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
710.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
715.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
720.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
725.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
730.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
735.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
740.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
745.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
750.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
755.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
760.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
765.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
770.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
775.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
780.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
