Time(s),TC9/u,B1V1/u,B2V1/u
1.72,5150.23842134007,5667.470387962934,5301.47389192806
1.73,5150.23842134007,5667.470387962934,5301.47389192806
1.74,5150.23842134007,5667.470387962934,5301.47389192806
1.75,5150.23842134007,5667.470387962934,5301.47389192806
1.76,5150.23842134007,5667.470387962934,5301.47389192806
1.77,5150.23842134007,5667.470387962934,5301.47389192806
1.78,5150.23842134007,5667.470387962934,5301.47389192806
1.79,5150.23842134007,5667.470387962934,5301.47389192806
1.8,5150.23842134007,5667.470387962934,5301.47389192806
1.81,5150.23842134007,5667.470387962934,5301.47389192806
1.82,5150.23842134007,5667.470387962933,5301.47389192806
1.83,5150.23842134007,5667.470387962934,5301.47389192806
1.84,5150.23842134007,5667.470387962934,5301.47389192806
1.85,5150.23842134007,5667.470387962934,5301.47389192806
1.86,5150.23842134007,5667.470387962934,5301.47389192806
1.87,5150.23842134007,5667.470387962934,5301.47389192806
1.8800000000000001,5150.23842134007,5667.470387962934,5301.47389192806
1.8900000000000001,5150.23842134007,5667.470387962934,5301.47389192806
1.9000000000000001,5150.23842134007,5667.470387962934,5301.47389192806
1.9100000000000001,5150.23842134007,5667.470387962935,5301.47389192806
1.92,5150.23842134007,5667.470387962934,5301.47389192806
1.93,5150.23842134007,5667.470387962934,5301.47389192806
1.94,5150.23842134007,5667.470387962934,5301.47389192806
1.95,5150.23842134007,5667.470387962934,5301.47389192806
1.96,5150.23842134007,5667.470387962934,5301.47389192806
1.97,5150.23842134007,5667.470387962934,5301.47389192806
1.98,5150.23842134007,5667.470387962934,5301.47389192806
1.99,5150.23842134007,5667.470387962934,5301.47389192806
2.0,5150.23842134007,5667.470387962934,5301.47389192806
2.0100000000000002,5150.23842134007,5667.470387962933,5301.47389192806
2.02,5150.23842134007,5667.470387962933,5301.47389192806
2.0300000000000002,5150.23842134007,5667.470387962933,5301.47389192806
2.04,5150.23842134007,5667.470387962934,5301.47389192806
2.05,5150.23842134007,5667.470387962934,5301.47389192806
2.06,5150.23842134007,5667.470387962934,5301.47389192806
2.07,5150.23842134007,5667.470387962934,5301.47389192806
2.08,5150.23842134007,5667.470387962934,5301.47389192806
2.09,5150.23842134007,5667.470387962934,5301.47389192806
2.1,5150.23842134007,5667.470387962934,5301.47389192806
2.11,5150.23842134007,5667.470387962934,5301.47389192806
2.12,5150.23842134007,5667.470387962934,5301.47389192806
2.13,5150.23842134007,5667.470387962934,5301.47389192806
2.14,5150.23842134007,5667.470387962934,5301.47389192806
2.15,5150.23842134007,5667.470387962935,5301.47389192806
2.16,5150.23842134007,5667.470387962934,5301.47389192806
2.17,5150.23842134007,5667.470387962934,5301.47389192806
2.18,5150.23842134007,5667.470387962934,5301.47389192806
2.19,5150.23842134007,5667.470387962934,5301.47389192806
2.2,5150.23842134007,5667.470387962934,5301.47389192806
2.21,5150.23842134007,5667.470387962934,5301.47389192806
