Time,TC1/v (m3_per_s),TC2/v (m3_per_s),TC3/v (m3_per_s),TC4/v (m3_per_s),TC5/v (m3_per_s),TC9/v (m3_per_s)
0.47000000000000003,4.609057341728538e-13,5.364618524742816e-13,1.6780061360723247e-13,1.371319731016776e-12,3.399921049225562e-13,8.934233076942102e-13
0.48,4.609084859303898e-13,5.364650592774324e-13,1.6780154697908734e-13,1.3713265837335506e-12,3.399936439152931e-13,8.934280409583609e-13
0.49,4.609106678152975e-13,5.364676019707138e-13,1.6780228705517965e-13,1.3713320172934209e-12,3.399948641917835e-13,8.93431793991645e-13
0.5,4.60912397844813e-13,5.364696180873328e-13,1.6780287386591283e-13,1.3713363255953438e-12,3.399958317562671e-13,8.93434769794047e-13
0.51,4.609137695955006e-13,5.364712166781862e-13,1.6780333915163178e-13,1.3713397416735504e-12,3.3999659894389823e-13,8.934371293254627e-13
0.52,4.609148572647765e-13,5.364724842103773e-13,1.6780370807944454e-13,1.3713424503022684e-12,3.399972072515318e-13,8.934390002119493e-13
0.53,4.609157196842099e-13,5.364734892441867e-13,1.6780400060450047e-13,1.3713445979900819e-12,3.399976895822707e-13,8.934404836489667e-13
0.54,4.609164035017067e-13,5.364742861414689e-13,1.6780423254935632e-13,1.3713463009045174e-12,3.3999807202518126e-13,8.934416598749968e-13
0.55,4.609169457046646e-13,5.364749180060611e-13,1.6780441645981116e-13,1.3713476511554963e-12,3.3999837526643817e-13,8.934425925116086e-13
0.56,4.609173756206135e-13,5.364754190152531e-13,1.6780456228350442e-13,1.371348721777525e-12,3.399986157082338e-13,8.934433320047225e-13
0.5700000000000001,4.609177165035253e-13,5.364758162684202e-13,1.6780467790797775e-13,1.3713495706800959e-12,3.399988063559632e-13,8.934439183532086e-13
0.58,4.609179867916122e-13,5.364761312528173e-13,1.6780476958730984e-13,1.3713502437799913e-12,3.3999895752168075e-13,8.93444383272409e-13
0.59,4.609182011046432e-13,5.364763810058181e-13,1.6780484228039716e-13,1.3713507774848999e-12,3.39999077381877e-13,8.93444751909607e-13
0.6,4.609183710347192e-13,5.364765790364583e-13,1.6780489991917862e-13,1.371351200662694e-12,3.3999917241973937e-13,8.934450442042329e-13
0.61,4.609185057741e-13,5.364767360571649e-13,1.6780494562176768e-13,1.3713515362068438e-12,3.3999924777792437e-13,8.934452759684388e-13
0.62,4.609186126104272e-13,5.364768605605403e-13,1.6780498185984587e-13,1.3713518022632987e-12,3.3999930753003157e-13,8.934454597368459e-13
0.63,4.609186973216301e-13,5.364769592800128e-13,1.678050105931467e-13,1.371352013220034e-12,3.399993549069041e-13,8.934456054476162e-13
0.64,4.609187644894477e-13,5.364770375550466e-13,1.678050333758374e-13,1.3713521804879545e-12,3.3999939247187274e-13,8.934457209820123e-13
0.65,4.609188177469742e-13,5.364770996195168e-13,1.678050514402705e-13,1.3713523131149572e-12,3.399994222571288e-13,8.93445812589438e-13
