Time,TC1/u (J_per_m3),TC2/u (J_per_m3),TC3/u (J_per_m3),TC4/u (J_per_m3),TC5/u (J_per_m3),TC9/u (J_per_m3)
1.29,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.3,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.31,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.32,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.33,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.34,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.35,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.36,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.37,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.3800000000000001,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.3900000000000001,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.4000000000000001,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.41,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.42,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.43,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.44,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.45,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.46,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.47,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.48,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.49,3403.996247584898,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.5,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.51,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.52,3403.996247584898,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.53,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.54,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
