Time,TC1/u (J_per_m3),TC2/u (J_per_m3),TC3/u (J_per_m3),TC4/u (J_per_m3),TC5/u (J_per_m3),TC9/u (J_per_m3)
1.85,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.672503841355,3525.231878304642,4913.195048422551
1.86,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.87,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.8800000000000001,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.8900000000000001,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.9000000000000001,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.9100000000000001,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.92,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.93,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.94,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.95,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.96,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.97,3389.6857165795927,3445.51007918038,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.98,3389.6857165795927,3445.510079180381,3445.510079180381,3498.672503841355,3525.231878304642,4913.195048422551
1.99,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.0,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.0100000000000002,3389.6857165795927,3445.51007918038,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.02,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.0300000000000002,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.04,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.05,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.06,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.07,3389.6857165795927,3445.5100791803816,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.08,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.09,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.1,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.672503841355,3525.231878304642,4913.195048422551
2.11,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.12,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.13,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.14,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.15,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.16,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.17,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.18,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.19,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.2,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.21,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.22,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.23,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.24,3389.6857165795927,3445.51007918038,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.25,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.2600000000000002,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.27,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.2800000000000002,3389.6857165795927,3445.51007918038,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.29,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.3000000000000003,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.31,3389.6857165795927,3445.510079180381,3445.510079180381,3498.672503841355,3525.231878304642,4913.195048422551
2.32,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.33,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.34,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.35,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
2.36,3389.6857165795927,3445.5100791803816,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
