Time,TC1/v (m3_per_s),TC2/v (m3_per_s),TC3/v (m3_per_s),TC4/v (m3_per_s),TC5/v (m3_per_s),TC9/v (m3_per_s)
1.1400000000000001,7.466276432297395e-18,8.690220865792361e-18,2.718220256929804e-18,1.9324242836644863e-12,4.791059988261929e-13,1.3584505610511861e-12
1.1500000000000001,7.466276519775214e-18,8.690220967684753e-18,2.7182202875877138e-18,1.932424303138983e-12,4.791060033954456e-13,1.3584505750766625e-12
1.16,7.466276595529202e-18,8.690221055650677e-18,2.718220314054974e-18,1.9324243199820397e-12,4.791060073472908e-13,1.3584505872069837e-12
1.17,7.466276660761804e-18,8.690221131805543e-18,2.7182203368829854e-18,1.932424334549223e-12,4.791060107651531e-13,1.358450597698228e-12
1.18,7.466276717276683e-18,8.6902211979122e-18,2.7182203567334306e-18,1.9324243471480554e-12,4.791060137211862e-13,1.3584506067718705e-12
1.19,7.466276766576897e-18,8.69022125502835e-18,2.7182203738820094e-18,1.932424358044504e-12,4.791060162777926e-13,1.358450614619461e-12
1.2,7.466276808963057e-18,8.690221304211701e-18,2.718220388659563e-18,1.9324243674685977e-12,4.791060184889449e-13,1.3584506214066667e-12
1.21,7.466276845336995e-18,8.690221346696246e-18,2.718220401452072e-18,1.9324243756192873e-12,4.79106020401321e-13,1.3584506272767697e-12
1.22,7.466276877502379e-18,8.690221383715972e-18,2.718220412480097e-18,1.9324243826686364e-12,4.791060220552921e-13,1.3584506323536907e-12
1.23,7.466276904857986e-18,8.690221415623451e-18,2.7182204220193388e-18,1.9324243887654608e-12,4.791060234857751e-13,1.3584506367446055e-12
1.24,7.46627692860626e-18,8.690221442947536e-18,2.7182204303454975e-18,1.932424394038467e-12,4.791060247229674e-13,1.3584506405422102e-12
1.25,7.466276949348424e-18,8.690221467274785e-18,2.7182204376239943e-18,1.9324243985989734e-12,4.791060257929879e-13,1.3584506438266738e-12
1.26,7.466276966783864e-18,8.690221487723777e-18,2.7182204437996882e-18,1.9324244025432533e-12,4.791060267184245e-13,1.3584506466673328e-12
1.27,7.466276981814418e-18,8.690221505528503e-18,2.71822044909314e-18,1.9324244059545736e-12,4.791060275188142e-13,1.3584506491241552e-12
1.28,7.466276994740693e-18,8.690221520865247e-18,2.718220453780051e-18,1.932424408904947e-12,4.791060282110531e-13,1.358450651249006e-12
1.29,7.466277006464525e-18,8.690221534791716e-18,2.71822045786042e-18,1.932424411456659e-12,4.791060288097554e-13,1.358450653086742e-12
1.3,7.46627701638469e-18,8.690221545897634e-18,2.7182204612239678e-18,1.9324244136635782e-12,4.791060293275595e-13,1.358450654676159e-12
1.31,7.466277025102411e-18,8.690221555945846e-18,2.7182204642566746e-18,1.9324244155722935e-12,4.791060297753968e-13,1.35845065605081e-12
1.32,7.466277033218909e-18,8.690221564583782e-18,2.7182204668482606e-18,1.932424417223099e-12,4.791060301627204e-13,1.3584506572397155e-12
1.33,7.466277038930519e-18,8.690221572164012e-18,2.7182204690538656e-18,1.9324244186508432e-12,4.791060304977084e-13,1.3584506582679726e-12
1.34,7.466277044341519e-18,8.69022157851025e-18,2.71822047098377e-18,1.932424419885668e-12,4.791060307874327e-13,1.3584506591572897e-12
1.35,7.466277049451907e-18,8.690221584151352e-18,2.7182204726931136e-18,1.9324244209536397e-12,4.791060310380079e-13,1.3584506599264399e-12
1.36,7.466277053359851e-18,8.6902215892636e-18,2.7182204742370373e-18,1.932424421877305e-12,4.791060312547252e-13,1.358450660591661e-12
1.37,7.466277056967183e-18,8.690221592965572e-18,2.71822047545012e-18,1.9324244226761614e-12,4.791060314421597e-13,1.3584506611669955e-12
1.3800000000000001,7.466277060273906e-18,8.690221596667545e-18,2.7182204764426423e-18,1.9324244233670757e-12,4.791060316042664e-13,1.3584506616645897e-12
1.3900000000000001,7.466277062678793e-18,8.69022160001695e-18,2.7182204774903047e-18,1.9324244239646317e-12,4.7910603174447e-13,1.3584506620949478e-12
1.4000000000000001,7.466277065384293e-18,8.690221602661215e-18,2.7182204783174064e-18,1.9324244244814443e-12,4.79106031865728e-13,1.3584506624671548e-12
1.41,7.466277066887349e-18,8.690221604952913e-18,2.7182204789790878e-18,1.9324244249284243e-12,4.791060319706023e-13,1.3584506627890686e-12
1.42,7.466277068991626e-18,8.69022160689204e-18,2.7182204795856294e-18,1.9324244253150073e-12,4.791060320613052e-13,1.3584506630674844e-12
1.43,7.46627707049468e-18,8.690221608654886e-18,2.7182204801921706e-18,1.9324244256493542e-12,4.791060321397521e-13,1.35845066330828e-12
1.44,7.466277071697125e-18,8.690221610241445e-18,2.7182204805230115e-18,1.932424425938523e-12,4.791060322075994e-13,1.3584506635165388e-12
1.45,7.466277072298348e-18,8.690221611475436e-18,2.7182204808538523e-18,1.9324244261886186e-12,4.791060322662786e-13,1.3584506636966572e-12
1.46,7.466277073500792e-18,8.690221612709428e-18,2.718220481184693e-18,1.932424426404922e-12,4.791060323170295e-13,1.3584506638524374e-12
1.47,7.466277074703236e-18,8.690221613590849e-18,2.7182204815155337e-18,1.932424426591997e-12,4.791060323609218e-13,1.3584506639871687e-12
1.48,7.466277075003846e-18,8.690221614648555e-18,2.7182204818463745e-18,1.932424426753794e-12,4.79106032398884e-13,1.3584506641036943e-12
1.49,7.466277075605069e-18,8.690221615177408e-18,2.718220482066935e-18,1.9324244268937287e-12,4.791060324317169e-13,1.3584506642044748e-12
1.5,7.466277076506902e-18,8.690221615529978e-18,2.718220482177215e-18,1.932424427014754e-12,4.791060324601128e-13,1.3584506642916376e-12
1.51,7.466277076807513e-18,8.690221616411399e-18,2.7182204824529158e-18,1.932424427119428e-12,4.791060324846717e-13,1.358450664367023e-12
1.52,7.466277077108125e-18,8.690221616940253e-18,2.718220482618336e-18,1.9324244272099577e-12,4.791060325059126e-13,1.3584506644322221e-12
1.53,7.466277077709346e-18,8.690221617469106e-18,2.7182204827286165e-18,1.9324244272882535e-12,4.79106032524283e-13,1.3584506644886112e-12
1.54,7.466277077709346e-18,8.69022161764539e-18,2.7182204827286165e-18,1.9324244273559712e-12,4.791060325401713e-13,1.358450664537381e-12
1.55,7.46627707831057e-18,8.690221617997959e-18,2.7182204828388968e-18,1.9324244274145383e-12,4.791060325539125e-13,1.3584506645795606e-12
1.56,7.466277078009958e-18,8.690221617821675e-18,2.7182204828388968e-18,1.9324244274651918e-12,4.791060325657977e-13,1.358450664616041e-12
1.57,7.46627707891179e-18,8.690221618174244e-18,2.718220482949177e-18,1.9324244275090004e-12,4.791060325760759e-13,1.358450664647592e-12
1.58,7.46627707891179e-18,8.690221618350529e-18,2.7182204830043172e-18,1.9324244275468896e-12,4.791060325849658e-13,1.3584506646748799e-12
1.59,7.46627707891179e-18,8.690221618703097e-18,2.7182204830594573e-18,1.9324244275796594e-12,4.791060325926548e-13,1.3584506646984804e-12
1.6,7.466277079212402e-18,8.690221618879381e-18,2.7182204831145975e-18,1.9324244276080012e-12,4.791060325993046e-13,1.358450664718892e-12
1.61,7.466277079513014e-18,8.69022161923195e-18,2.7182204832248774e-18,1.9324244276325137e-12,4.79106032605056e-13,1.3584506647365458e-12
1.62,7.466277079212402e-18,8.69022161923195e-18,2.7182204832800175e-18,1.932424427653713e-12,4.791060326100296e-13,1.358450664751814e-12
1.6300000000000001,7.466277079212402e-18,8.690221619408234e-18,2.7182204832800175e-18,1.932424427672048e-12,4.79106032614332e-13,1.358450664765019e-12
1.6400000000000001,7.466277079513014e-18,8.69022161923195e-18,2.7182204832800175e-18,1.932424427687906e-12,4.791060326180526e-13,1.3584506647764397e-12
1.6500000000000001,7.466277079513014e-18,8.69022161958452e-18,2.7182204832800175e-18,1.932424427701622e-12,4.791060326212705e-13,1.358450664786317e-12
1.6600000000000001,7.466277079513014e-18,8.69022161958452e-18,2.7182204832800175e-18,1.932424427713484e-12,4.791060326240535e-13,1.35845066479486e-12
1.67,7.466277079513014e-18,8.69022161958452e-18,2.7182204833351577e-18,1.9324244277237423e-12,4.791060326264609e-13,1.3584506648022485e-12
