Time,TC1/v (m3_per_s),TC2/v (m3_per_s),TC3/v (m3_per_s),TC4/v (m3_per_s),TC5/v (m3_per_s),TC9/v (m3_per_s)
0.96,4.99203368897198e-13,5.810376259346763e-13,1.8174316439380007e-13,1.297756345086279e-12,3.2175276036657155e-13,8.885067346128275e-13
0.97,4.992033689183677e-13,5.810376259593462e-13,1.817431644009683e-13,1.2977563451361263e-12,3.217527603777385e-13,8.885067346479916e-13
0.98,4.992033689350805e-13,5.810376259788232e-13,1.8174316440662756e-13,1.2977563451754788e-12,3.2175276038655464e-13,8.885067346757526e-13
0.99,4.992033689482743e-13,5.810376259942002e-13,1.8174316441109556e-13,1.2977563452065473e-12,3.217527603935148e-13,8.885067346976697e-13
1.0,4.992033689586905e-13,5.810376260063394e-13,1.8174316441462264e-13,1.297756345231075e-12,3.2175276039900976e-13,8.885067347149726e-13
1.01,4.992033689669145e-13,5.81037626015923e-13,1.8174316441740744e-13,1.2977563452504396e-12,3.217527604033478e-13,8.885067347286329e-13
1.02,4.992033689734072e-13,5.810376260234895e-13,1.81743164419606e-13,1.2977563452657265e-12,3.2175276040677265e-13,8.885067347394174e-13
1.03,4.992033689785314e-13,5.810376260294634e-13,1.817431644213417e-13,1.297756345277795e-12,3.2175276040947634e-13,8.885067347479316e-13
1.04,4.992033689825794e-13,5.810376260341793e-13,1.8174316442271191e-13,1.297756345287323e-12,3.2175276041161093e-13,8.885067347546531e-13
1.05,4.992033689857737e-13,5.810376260379014e-13,1.8174316442379355e-13,1.2977563452948458e-12,3.2175276041329624e-13,8.885067347599597e-13
1.06,4.992033689882946e-13,5.810376260408411e-13,1.817431644246478e-13,1.2977563453007852e-12,3.217527604146267e-13,8.885067347641494e-13
1.07,4.99203368990287e-13,5.81037626043161e-13,1.8174316442532192e-13,1.297756345305474e-12,3.217527604156772e-13,8.88506734767457e-13
1.08,4.992033689918581e-13,5.81037626044994e-13,1.8174316442585426e-13,1.2977563453091749e-12,3.2175276041650637e-13,8.885067347700682e-13
1.09,4.99203368993099e-13,5.810376260464399e-13,1.8174316442627454e-13,1.2977563453120975e-12,3.217527604171609e-13,8.885067347721295e-13
1.1,4.99203368994079e-13,5.810376260475815e-13,1.8174316442660613e-13,1.2977563453144037e-12,3.21752760417678e-13,8.885067347737572e-13
1.11,4.992033689948528e-13,5.810376260484837e-13,1.817431644268683e-13,1.2977563453162257e-12,3.21752760418086e-13,8.88506734775042e-13
1.12,4.992033689954636e-13,5.810376260491956e-13,1.8174316442707506e-13,1.297756345317664e-12,3.21752760418408e-13,8.885067347760564e-13
